dataset_uid,dataset_id,gse_id,file_path,file_name,species,reference,group,usage_primary,usage_tags,sample_type,detail_source,condition,detailed_condition
GSE166797/GSM5085810_GM12878_rep1,GSM5085810_GM12878_rep1,GSE166797,GSE166797/GSM5085810_GM12878_rep1.h5mu,GSM5085810_GM12878_rep1.h5mu,Homo Sapiens,HG38,model_training,model_training,model_training;control;cell_line,Cell Line,GM12878 (Cell Line),Healthy/Control,Control
GSE166797/GSM5085812_GM12878_rep2,GSM5085812_GM12878_rep2,GSE166797,GSE166797/GSM5085812_GM12878_rep2.h5mu,GSM5085812_GM12878_rep2.h5mu,Homo Sapiens,HG38,model_training,model_training,model_training;control;cell_line,Cell Line,GM12878 (Cell Line),Healthy/Control,Control
GSE178379/GSM5694434_HNES1_DUX4_overexpression,GSM5694434_HNES1_DUX4_overexpression,GSE178379,GSE178379/GSM5694434_HNES1_DUX4_overexpression.h5mu,GSM5694434_HNES1_DUX4_overexpression.h5mu,Homo Sapiens,HG38,model_training,model_training,model_training;induced_model;cell_line;perturbation,Cell Line,HNES1 (Cell Line),Induced Model,DUX4 Overexpression
GSE178453/GSM5391776_HF1M-Cryo,GSM5391776_HF1M-Cryo,GSE178453,GSE178453/GSM5391776_HF1M-Cryo.h5mu,GSM5391776_HF1M-Cryo.h5mu,Homo Sapiens,HG38,model_training,model_training,model_training;control,Tissue,Pituitary,Healthy/Control,Control
GSE192780/GSM5765318_012320M-TRM,GSM5765318_012320M-TRM,GSE192780,GSE192780/GSM5765318_012320M-TRM.h5mu,GSM5765318_012320M-TRM.h5mu,Homo Sapiens,HG38,model_training,model_training,model_training;disease_model;cancer,Tissue,Ovary Tumor,Natural Disease,HGSOC
GSE192780/GSM5765320_012320M-ReCir,GSM5765320_012320M-ReCir,GSE192780,GSE192780/GSM5765320_012320M-ReCir.h5mu,GSM5765320_012320M-ReCir.h5mu,Homo Sapiens,HG38,model_training,model_training,model_training;disease_model;cancer,Tissue,Ovary Tumor,Natural Disease,HGSOC
GSE192780/GSM5765322_100809M-TRM,GSM5765322_100809M-TRM,GSE192780,GSE192780/GSM5765322_100809M-TRM.h5mu,GSM5765322_100809M-TRM.h5mu,Homo Sapiens,HG38,model_training,model_training,model_training;disease_model;cancer,Tissue,Ovary Tumor,Natural Disease,HGSOC
GSE192780/GSM5765324_100809M-ReCir,GSM5765324_100809M-ReCir,GSE192780,GSE192780/GSM5765324_100809M-ReCir.h5mu,GSM5765324_100809M-ReCir.h5mu,Homo Sapiens,HG38,model_training,model_training,model_training;disease_model;cancer,Tissue,Ovary Tumor,Natural Disease,HGSOC
GSE192780/GSM5765326_042718M-TRM,GSM5765326_042718M-TRM,GSE192780,GSE192780/GSM5765326_042718M-TRM.h5mu,GSM5765326_042718M-TRM.h5mu,Homo Sapiens,HG38,model_training,model_training,model_training;disease_model;cancer,Tissue,Ovary Tumor,Natural Disease,HGSOC
GSE192780/GSM5765328_042718M-ReCir,GSM5765328_042718M-ReCir,GSE192780,GSE192780/GSM5765328_042718M-ReCir.h5mu,GSM5765328_042718M-ReCir.h5mu,Homo Sapiens,HG38,model_training,model_training,model_training;disease_model;cancer,Tissue,Ovary Tumor,Natural Disease,HGSOC
GSE192780/GSM5765330_041218M-TRM,GSM5765330_041218M-TRM,GSE192780,GSE192780/GSM5765330_041218M-TRM.h5mu,GSM5765330_041218M-TRM.h5mu,Homo Sapiens,HG38,model_training,model_training,model_training;disease_model;cancer,Tissue,Ovary Tumor,Natural Disease,HGSOC
GSE192780/GSM5765332_041218M-ReCir,GSM5765332_041218M-ReCir,GSE192780,GSE192780/GSM5765332_041218M-ReCir.h5mu,GSM5765332_041218M-ReCir.h5mu,Homo Sapiens,HG38,model_training,model_training,model_training;disease_model;cancer,Tissue,Ovary Tumor,Natural Disease,HGSOC
GSE197912/GSM5932294_H9d7_WT,GSM5932294_H9d7_WT,GSE197912,GSE197912/GSM5932294_H9d7_WT.h5mu,GSM5932294_H9d7_WT.h5mu,Homo Sapiens,HG38,model_training,model_training,model_training;control;cell_line;perturbation;perturbation_control,Cell Line,H9 hESC (Cell Line),Healthy/Control,Control
GSE197912/GSM5932295_H9d7_GRHL2_KO,GSM5932295_H9d7_GRHL2_KO,GSE197912,GSE197912/GSM5932295_H9d7_GRHL2_KO.h5mu,GSM5932295_H9d7_GRHL2_KO.h5mu,Homo Sapiens,HG38,model_training,model_training,model_training;induced_model;cell_line;perturbation,Cell Line,H9 hESC (Cell Line),Induced Model,GRHL2 KO
GSE210736/GSM6436169_CO5M,GSM6436169_CO5M,GSE210736,GSE210736/GSM6436169_CO5M.h5mu,GSM6436169_CO5M.h5mu,Homo Sapiens,HG38,model_training,model_training,model_training;control;cell_line;organoid_or_differentiation_model,Cell Line,Cerebral Organoid (Cell Line),Healthy/Control,Control
GSE210736/GSM6436170_CO8M,GSM6436170_CO8M,GSE210736,GSE210736/GSM6436170_CO8M.h5mu,GSM6436170_CO8M.h5mu,Homo Sapiens,HG38,model_training,model_training,model_training;control;cell_line;organoid_or_differentiation_model,Cell Line,Cerebral Organoid (Cell Line),Healthy/Control,Control
GSE210736/GSM6436171_CO12M,GSM6436171_CO12M,GSE210736,GSE210736/GSM6436171_CO12M.h5mu,GSM6436171_CO12M.h5mu,Homo Sapiens,HG38,model_training,model_training,model_training;control;cell_line;organoid_or_differentiation_model,Cell Line,Cerebral Organoid (Cell Line),Healthy/Control,Control
GSE210736/GSM7869065_5M_CO_2,GSM7869065_5M_CO_2,GSE210736,GSE210736/GSM7869065_5M_CO_2.h5mu,GSM7869065_5M_CO_2.h5mu,Homo Sapiens,HG38,model_training,model_training,model_training;control;cell_line;organoid_or_differentiation_model,Cell Line,Cerebral Organoid (Cell Line),Healthy/Control,Control
GSE210736/GSM7869066_5M_CO_3,GSM7869066_5M_CO_3,GSE210736,GSE210736/GSM7869066_5M_CO_3.h5mu,GSM7869066_5M_CO_3.h5mu,Homo Sapiens,HG38,model_training,model_training,model_training;control;cell_line;organoid_or_differentiation_model,Cell Line,Cerebral Organoid (Cell Line),Healthy/Control,Control
GSE210736/GSM7869067_9M_CO_2,GSM7869067_9M_CO_2,GSE210736,GSE210736/GSM7869067_9M_CO_2.h5mu,GSM7869067_9M_CO_2.h5mu,Homo Sapiens,HG38,model_training,model_training,model_training;control;cell_line;organoid_or_differentiation_model,Cell Line,Cerebral Organoid (Cell Line),Healthy/Control,Control
GSE210736/GSM7869068_9M_CO_3,GSM7869068_9M_CO_3,GSE210736,GSE210736/GSM7869068_9M_CO_3.h5mu,GSM7869068_9M_CO_3.h5mu,Homo Sapiens,HG38,model_training,model_training,model_training;control;cell_line;organoid_or_differentiation_model,Cell Line,Cerebral Organoid (Cell Line),Healthy/Control,Control
GSE210736/GSM7869069_12M_CO_2,GSM7869069_12M_CO_2,GSE210736,GSE210736/GSM7869069_12M_CO_2.h5mu,GSM7869069_12M_CO_2.h5mu,Homo Sapiens,HG38,model_training,model_training,model_training;control;cell_line;organoid_or_differentiation_model,Cell Line,Cerebral Organoid (Cell Line),Healthy/Control,Control
GSE210736/GSM7869070_12M_CO_3,GSM7869070_12M_CO_3,GSE210736,GSE210736/GSM7869070_12M_CO_3.h5mu,GSM7869070_12M_CO_3.h5mu,Homo Sapiens,HG38,model_training,model_training,model_training;control;cell_line;organoid_or_differentiation_model,Cell Line,Cerebral Organoid (Cell Line),Healthy/Control,Control
GSE220144/GSM8187204_sample1,GSM8187204_sample1,GSE220144,GSE220144/GSM8187204_sample1.h5mu,GSM8187204_sample1.h5mu,Homo Sapiens,HG38,model_training,model_training,model_training;induced_model;cell_line;cancer;disease_model,Cell Line,MM1S/HS5 Co-Culture (Cell Line),Induced Model,Co-Culture
GSE227280/GSM7094288_noCOVID,GSM7094288_noCOVID,GSE227280,GSE227280/GSM7094288_noCOVID.h5mu,GSM7094288_noCOVID.h5mu,Homo Sapiens,None,model_training,model_training,model_training;control;cell_line;organoid_or_differentiation_model;perturbation;perturbation_control,Cell Line,Cardiac Organoid (Cell Line),Healthy/Control,Control
GSE227280/GSM7094289_COVID,GSM7094289_COVID,GSE227280,GSE227280/GSM7094289_COVID.h5mu,GSM7094289_COVID.h5mu,Homo Sapiens,None,model_training,model_training,model_training;induced_model;cell_line;organoid_or_differentiation_model;perturbation,Cell Line,Cardiac Organoid (Cell Line),Induced Model,SARS-CoV-2 Exposure
GSE237448/GSE237448_BFA,GSE237448_BFA,GSE237448,GSE237448/GSE237448_BFA.h5mu,GSE237448_BFA.h5mu,Homo Sapiens,HG38,model_training,model_training,model_training;induced_model;perturbation,Tissue,Pancreatic Islet,Induced Model,BFA
GSE237448/GSE237448_CM,GSE237448_CM,GSE237448,GSE237448/GSE237448_CM.h5mu,GSE237448_CM.h5mu,Homo Sapiens,HG38,model_training,model_training,model_training;induced_model;perturbation,Tissue,Pancreatic Islet,Induced Model,Cytokine Mix
GSE237448/GSE237448_DMSO,GSE237448_DMSO,GSE237448,GSE237448/GSE237448_DMSO.h5mu,GSE237448_DMSO.h5mu,Homo Sapiens,HG38,model_training,model_training,model_training;control;perturbation;perturbation_control,Tissue,Pancreatic Islet,Healthy/Control,Control
GSE237448/GSE237448_PBS,GSE237448_PBS,GSE237448,GSE237448/GSE237448_PBS.h5mu,GSE237448_PBS.h5mu,Homo Sapiens,HG38,model_training,model_training,model_training;control;perturbation;perturbation_control,Tissue,Pancreatic Islet,Healthy/Control,Control
